replicate	chromosome	window_pos_1	window_pos_2	dxy_new	dxy_new_multi	fst_hudson_new	fst_hudson_num_new	fst_hudson_den_new	fst_hudson_new_multi	fst_hudson_num_new_multi	fst_hudson_den_new_multi	fst_hudson_new_multi_fstbi	fst_hudson_num_new_multi_fstbi	fst_hudson_den_new_multi_fstbi
1	1	1	10000	0.063431174824667	0.073075243489308	0.24377940557539	141.84406288156	581.85416666667	0.23996202351553	165.63828601954	690.26875	0.24395083396026	142.35750915751	583.55
1	1	10001	20000	0.073807536442267	0.086741806869961	0.32155050544984	217.98623321123	677.92222222222	0.31973949979855	263.75777625153	824.91458333333	0.32082501940803	218.39494810745	680.72916666667
1	1	20001	30000	0.065837811180094	0.078055570126358	0.23161071102405	139.9987026862	604.45694444444	0.23216469753001	172.73650030525	744.02569444444	0.23187008300549	141.29293345543	609.3625
1	1	30001	40000	0.066273782240169	0.077399656333204	0.24692109040007	149.94694749695	607.26666666667	0.24401606095989	178.91427045177	733.20694444444	0.24678578490467	150.27574786325	608.93194444444
1	1	40001	50000	0.065877186580055	0.079075975659704	0.21554877584792	129.70048840049	601.72222222222	0.21745000345061	163.2672008547	750.82638888889	0.21545901724521	129.87271062271	602.77222222222
1	1	50001	60000	0.071561336042181	0.084179815048046	0.20377080060141	133.98043345543	657.50555555556	0.20422485320396	163.80166361416	802.06527777778	0.2037983728711	134.40587606838	659.50416666667
1	1	60001	70000	0.072897141092706	0.085771377637501	0.26712952254728	178.68405067155	668.90416666667	0.26913088274622	219.41082112332	815.25694444444	0.26709972894386	178.68563797314	668.98472222222
1	1	70001	80000	0.063806058293357	0.07600581517735	0.2574203957494	150.64992368742	585.22916666667	0.25331993688681	182.93024267399	722.13125	0.25704307974716	151.14133089133	588
1	1	80001	90000	0.062427650977394	0.074508442552098	0.18718809495509	107.00607448107	571.65	0.18644512881615	132.13819444444	708.72430555556	0.18720422829507	107.33484432234	573.35694444444
1	1	90001	100000	0.0603000314454	0.071566382396294	0.19799904855927	109.6867979243	553.97638888889	0.19867943527812	135.04986263736	679.7375	0.19765433176965	109.74015567766	555.2125
2	1	1	10000	0.068343183609141	0.081491042620354	0.25101228810238	157.22538156288	626.36527777778	0.25230803551365	196.1298992674	777.34305555556	0.25212361935466	158.71391941392	629.50833333333
2	1	10001	20000	0.065224270522869	0.079037889194139	0.20081416383459	118.6543956044	590.86666666667	0.19886427880089	148.75338064713	748.01458333333	0.20041466275975	118.84116300366	592.97638888889
2	1	20001	30000	0.061939419805553	0.073809409120103	0.24218412329422	137.66182844933	568.41805555556	0.24434189650588	171.60046550672	702.29652777778	0.24212297554163	137.68087606838	568.64027777778
2	1	30001	40000	0.068235574239887	0.080911031061562	0.22435400613513	140.19913003663	624.90138888889	0.22622487032328	174.03526404151	769.30208333333	0.22444704638295	140.62106227106	626.52222222222
2	1	40001	50000	0.064644683771898	0.077535318673083	0.27428018277527	162.16549145299	591.24027777778	0.27628093668935	203.26890262515	735.73263888889	0.27439717842332	162.59442918193	592.55138888889
2	1	50001	60000	0.064533204712849	0.075359208041568	0.22252144170493	131.49471916972	590.93055555556	0.21343715273971	152.36804029304	713.87777777778	0.22194977931301	131.64951159951	593.15
2	1	60001	70000	0.067792218824329	0.080407200627363	0.24570133027355	152.50818070818	620.70555555556	0.24405290113649	186.28693528694	763.30555555556	0.24622268224094	153.27567155067	622.50833333333
2	1	70001	80000	0.064403980514457	0.076449734755742	0.20944367978792	123.99094932845	592.00138888889	0.21181259894009	154.3194520757	728.56597222222	0.20943417749547	124.10749389499	592.58472222222
2	1	80001	90000	0.066009106080395	0.077602486087729	0.25484085067207	154.55885225885	606.49166666667	0.2553228256402	188.30927197802	737.53402777778	0.2547144946018	154.69377289377	607.32222222222
2	1	90001	100000	0.060674369773324	0.070907353716394	0.19303166334534	107.52855616606	557.05138888889	0.19377346904784	130.32355769231	672.55625	0.19281478861922	107.56440781441	557.86388888889
3	1	1	10000	0.066597639419868	0.079060008637695	0.22178351734715	135.22171855922	609.70138888889	0.22076341676528	166.14041514042	752.57222222222	0.22170971075347	135.65093101343	611.84027777778
3	1	10001	20000	0.065227261661311	0.078059113430318	0.23588147769596	140.44252136752	595.39444444444	0.23736685250929	175.76273656899	740.46875	0.23566141477479	140.52522893773	596.30138888889
3	1	20001	30000	0.060591632938229	0.07081765820939	0.21945284826057	122.65158730159	558.89722222222	0.22260620465874	150.15638736264	674.53819444444	0.21937704206299	122.88374542125	560.14861111111
3	1	30001	40000	0.069552275074418	0.082248537550792	0.25505749818354	162.23073870574	636.05555555556	0.25205522259437	197.2778464591	782.67708333333	0.25602990249995	163.49642857143	638.58333333333
