replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi
1	1	1	10000	0.035659126328658	0.036340249957891	-0.075924269353885	0.037935345017522	0.039124791438075	-0.12317716792041
1	1	10001	20000	0.034797489030079	0.034017057326088	0.092920397877014	0.03763832482368	0.037415039939876	0.024177590934492
1	1	20001	30000	0.036056662382177	0.036012034424212	0.005019877087782	0.038850011905835	0.03955528331065	-0.072244563489765
1	1	30001	40000	0.03712272831838	0.036555243773191	0.062888519624138	0.040298052486282	0.040166152486267	0.01330664912467
1	1	40001	50000	0.037724533583169	0.036161053149159	0.17514524361449	0.039735392745108	0.038528871335671	0.12687536109787
1	1	50001	60000	0.034110490941171	0.033658546864853	0.054382473334637	0.036541874274794	0.036489849777174	0.0057758247166887
1	1	60001	70000	0.03175114994337	0.030579984720913	0.15506163957738	0.034234765147547	0.03349477780585	0.089475719710058
1	1	70001	80000	0.035734414538762	0.033707335246675	0.24356281564471	0.03788679366125	0.036389808109973	0.16665036453917
1	1	80001	90000	0.033298441659272	0.032747722145756	0.068103513742689	0.035731519843376	0.035410739973875	0.036694531855967
1	1	90001	100000	0.0331796615922	0.033751182404892	-0.068576801421486	0.035756596661282	0.036945283568494	-0.1303367777171
2	1	1	10000	0.031459567452777	0.03239792344257	-0.1172857816746	0.033878923818717	0.035243196434812	-0.15679779782849
2	1	10001	20000	0.035108432890726	0.034439186804591	0.07870563928969	0.038090404749656	0.038065861811326	0.0026121459334199
2	1	20001	30000	0.034001516279134	0.033928719187388	0.0086897958820216	0.036165599192132	0.036679259335792	-0.05673143073758
2	1	30001	40000	0.036747404361092	0.036596746434546	0.016676454113773	0.039030436865899	0.039263658164026	-0.024066948749568
2	1	40001	50000	0.03283630323585	0.032574645590802	0.032528435549501	0.036232458711168	0.036313892736347	-0.0090843326218673
2	1	50001	60000	0.034975418239433	0.034657503700691	0.037153297073821	0.037596950405871	0.037540031778099	0.0061425725042925
