replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi
1	1	1	10000	0.033576980469967	0.034254864539025	-0.074417749523605	0.035883727748009	0.037108967479084	-0.12418354837679
1	1	10001	20000	0.035165690098854	0.034144847799533	0.11242896528616	0.038478794251665	0.037872800210233	0.060184681791297
1	1	20001	30000	0.033874300403488	0.034235418821007	-0.039666529652891	0.036878476817629	0.037662068754318	-0.078257876507158
1	1	30001	40000	0.037168831878475	0.035346132837178	0.19393038148768	0.040618546097275	0.039336063624066	0.12264045343553
1	1	40001	50000	0.03448950406325	0.033004975046123	0.16913052287714	0.037115755930922	0.035877534016736	0.12979939752993
1	1	50001	60000	0.03392712407936	0.033205528827525	0.081715553452629	0.036617446016061	0.036394808646235	0.023007588293175
1	1	60001	70000	0.029610132642841	0.029465034606921	0.018511947625924	0.031999082803922	0.032104930917156	-0.012396656724907
1	1	70001	80000	0.034841556914585	0.032990099077244	0.21102866036151	0.037828676603542	0.036621958469054	0.12393092878329
1	1	80001	90000	0.033386033396628	0.032628302350582	0.087321844514426	0.036439665955015	0.035838129059666	0.063126880807224
1	1	90001	100000	0.031815583842969	0.032091730267274	-0.032354166216346	0.034817991372003	0.03564343044317	-0.087095704398776
2	1	1	10000	0.02931077897815	0.030883006286111	-0.19140171612993	0.032012574558963	0.034011470253836	-0.22101257096381
2	1	10001	20000	0.033814478672597	0.03290470899727	0.10396261636138	0.037000536445803	0.036889340453047	0.011337221014025
2	1	20001	30000	0.033563312899751	0.033663643277838	-0.011207401388486	0.035827236347468	0.036666906980663	-0.086129607667396
2	1	30001	40000	0.035957754936244	0.035574878121188	0.040476162114608	0.038863089651899	0.038820367986044	0.0041395578507389
2	1	40001	50000	0.033143460433598	0.032116820363307	0.12018991488121	0.036963717773076	0.03612320251118	0.087510795367707
2	1	50001	60000	0.034567426905365	0.033603292276221	0.10789064130822	0.037145652827063	0.036506845167824	0.065812123868287
2	1	60001	70000	0.03304120315163	0.033474897835285	-0.04871805028811	0.03597184970302	0.036850944109084	-0.08972366743524
2	1	70001	80000	0.03025397212402	0.030328030915684	-0.0091804282967451	0.03262773428041	0.033229504362277	-0.068098269349503
2	1	80001	90000	0.033086277741066	0.03388464885906	-0.088601205587318	0.035688886730553	0.037204080645374	-0.15318173598533
2	1	90001	100000	0.034245659062363	0.034798819508825	-0.059778853639646	0.037023099901329	0.038121340934012	-0.10836220051155
3	1	1	10000	0.036005380981053	0.032700871220679	0.37997389160463	0.03860147451386	0.035589494744811	0.3182893148051
3	1	10001	20000	0.034794877242296	0.033713880492075	0.12057218186684	0.037478983873671	0.0369524885945	0.053588629983461
3	1	20001	30000	0.035473428027069	0.032974866720207	0.28491930302771	0.037925701594993	0.035838580563654	0.21902588789865
3	1	30001	40000	0.038270542591399	0.037118132812444	0.1167727519681	0.041312876558778	0.040912410435226	0.036822972683424
