replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi	pi_old	pi_vcftools
1	1	1	10000	0.031157276679665	0.031283343629077	-0.017677099238225	0.033080064265631	0.033570245183681	-0.064062459099764	0.03115727667966474	0.0160811
1	1	10001	20000	0.034827593937763	0.033403986635627	0.18697510197142	0.037351130737321	0.036294529721939	0.12774626086059	0.034827593937763426	0.0182079
1	1	20001	30000	0.035117053120672	0.034898788337698	0.027441800129635	0.037516666666667	0.037811334577176	-0.034200310282939	0.03511705312067194	0.0183826
1	1	30001	40000	0.032629718554088	0.032279119581384	0.047649029340043	0.033979388297872	0.03402385320621	-0.005733976763	0.032629718554088305	0.016645
1	1	40001	50000	0.032899051670655	0.033093321963064	-0.02575493044618	0.034381072248719	0.035015581916735	-0.079511628942765	0.03289905167065497	0.0169211
1	1	50001	60000	0.035113997879109	0.035713259165072	-0.073630676381156	0.037626295905816	0.038802605449829	-0.13304942399713	0.035113997879109224	0.0186776
1	1	60001	70000	0.034780185482433	0.034465967038717	0.040000940490878	0.036641814228021	0.036712755197566	-0.0084795706238548	0.034780185482432675	0.0179714
1	1	70001	80000	0.034180885843522	0.035388084854513	-0.14968292574812	0.036096989966555	0.037736211563415	-0.19063111425157	0.03418088584352188	0.0176301
1	1	80001	90000	0.032274389156412	0.031079836943685	0.16859624971834	0.033493376011381	0.03267674250283	0.10963935229891	0.03227438915641163	0.0163384
1	1	90001	100000	0.033082689789098	0.03409297629214	-0.13001246593922	0.035354318324796	0.036848015591973	-0.17788284484597	0.03308268978909813	0.0171135
2	1	1	10000	0.034687626228625	0.033841240397715	0.10973022275571	0.036595174262735	0.036276982500688	0.038488770190942	NA	0.017811
2	1	2	10001	NA	NA	NA	NA	NA	NA	0.034687626228625285	NA
2	1	10001	20000	0.034717544568683	0.033818877388572	0.11658498715677	0.036159974933978	0.035571417143069	0.072601215208965	NA	0.0175619
2	1	10002	20001	NA	NA	NA	NA	NA	NA	0.034712868175287355	NA
2	1	20001	30000	0.032951696660399	0.032419262469074	0.072048556305994	0.034701226309922	0.034591527266464	0.013914434208636	NA	0.0168994
2	1	20002	30001	NA	NA	NA	NA	NA	NA	0.03299534425642403	NA
2	1	30001	40000	0.030683789192795	0.032006270907596	-0.18126354155265	0.033003672728882	0.034845269990279	-0.23189850746279	NA	0.0161999
2	1	30002	40001	NA	NA	NA	NA	NA	NA	0.030640426951300866	NA
2	1	40001	50000	0.031587694641503	0.032915849554489	-0.17702128956316	0.033496623122723	0.035190115533066	-0.21116173357141	NA	0.0163823
2	1	40002	50001	NA	NA	NA	NA	NA	NA	0.0315876946415027	NA
2	1	50001	60000	0.032793064876957	0.032240049131663	0.075248698555047	0.03409841184868	0.033879427985088	0.028358771945904	NA	0.0165922
2	1	50002	60001	NA	NA	NA	NA	NA	NA	0.032793064876957496	NA
2	1	60001	70000	0.034206179123136	0.034754321330323	-0.06920226462462	0.035794974427396	0.036911754639665	-0.13276993873958	NA	0.0175186
2	1	60002	70001	NA	NA	NA	NA	NA	NA	0.03421076133065416	NA
