replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi
1	1	1	10000	0.034558989777772	0.035276636313741	-0.078817179133296	0.036903340258013	0.03823202564698	-0.13467468798149
1	1	10001	20000	0.035118666858135	0.034166311772907	0.10798436480346	0.03820501115845	0.037679922445206	0.054000688667612
1	1	20001	30000	0.034916157214707	0.035143690338223	-0.025083819217671	0.037906989247312	0.038769264287721	-0.086192173018354
1	1	30001	40000	0.036488501819031	0.035396559349477	0.11952139914271	0.039839996568291	0.039227490688491	0.060512314626476
1	1	40001	50000	0.036004529709566	0.034007639053383	0.22748192479107	0.038305650289758	0.036483087314698	0.19357268076366
1	1	50001	60000	0.03334828348048	0.033156165043644	0.022446503252211	0.036028874113626	0.036454386732693	-0.045229369932023
1	1	60001	70000	0.031056926123368	0.03038544950797	0.08558339563494	0.033886589990594	0.033456051073149	0.049852695666398
1	1	70001	80000	0.034847667834996	0.033172542061177	0.19561169967516	0.037646725644622	0.036573628560428	0.11368844332805
1	1	80001	90000	0.033000578202418	0.032972247532126	0.0033283734241618	0.035764913654394	0.035865339687169	-0.010849228627949
1	1	90001	100000	0.032557896281758	0.032037655915232	0.062895272719169	0.035517083554388	0.035415287084485	0.011136370074939
2	1	1	10000	0.030532830602711	0.032140375052134	-0.19373068508687	0.033262075153507	0.035249183416619	-0.2184113622143
2	1	10001	20000	0.034296582846958	0.033358914640449	0.10888414374211	0.037224883802527	0.037077919851906	0.01535859319932
2	1	20001	30000	0.034118333876398	0.03394388224865	0.019909844911898	0.036320261085338	0.036972251215038	-0.068331674312651
2	1	30001	40000	0.03585246685653	0.036083860084243	-0.024846783453127	0.03832438346544	0.038863129127844	-0.053723271381667
2	1	40001	50000	0.032220111300516	0.032386639022347	-0.019916865898294	0.035749069065454	0.036276503600755	-0.056335687111572
2	1	50001	60000	0.034800482481283	0.033997030571723	0.091553627227015	0.037258183238931	0.036721240400197	0.056657832374312
2	1	60001	70000	0.033523697370474	0.033223463257139	0.035006386327273	0.036192676838322	0.036244124432599	-0.0055000411803184
2	1	70001	80000	0.030150317751852	0.030466102947782	-0.040142664489814	0.032163462156912	0.032907585960576	-0.087595644051381
2	1	80001	90000	0.033656473342025	0.034346554220635	-0.077838757211296	0.03593902939429	0.037244659207962	-0.13584098632917
2	1	90001	100000	0.034779100979332	0.035155231332075	-0.041452643681654	0.037517473474518	0.038631646997576	-0.11176910307469
3	1	1	10000	0.035703514729494	0.03245130938946	0.38820485452986	0.038273937701213	0.035416402140558	0.31261560900006
3	1	10001	20000	0.035813773217334	0.034593065798459	0.13671316329578	0.038210051271096	0.037525857125813	0.070653185478605
3	1	20001	30000	0.035496385432513	0.032727506389512	0.3277216021935	0.037467991964582	0.035074474261318	0.26439066681503
3	1	30001	40000	0.038268203072812	0.036823333566681	0.15204060457516	0.041198926156135	0.040441477138008	0.07259114593758
3	1	40001	50000	0.032986684423665	0.033179179108981	-0.022474004739101	0.036827580343845	0.037309259523737	-0.050027690000016
3	1	50001	60000	0.034796258081677	0.035005614707175	-0.02317142875354	0.036705172722697	0.037499144405602	-0.082047920229492
3	1	60001	70000	0.035085674667728	0.033802752909901	0.14702881705218	0.037256171538217	0.036362089544332	0.095273240486835
3	1	70001	80000	0.030204110954854	0.029693818869854	0.066548402350278	0.032451751405583	0.032517011482732	-0.0077740045042182
3	1	80001	90000	0.031176433703979	0.032685566898494	-0.17884037689569	0.0333178316628	0.035106873876314	-0.19742992149412
3	1	90001	100000	0.034424119888924	0.033919576586415	0.05762371288161	0.037056446221463	0.037317685984804	-0.027126384394988
4	1	1	10000	0.036632858234753	0.035133607798309	0.16532772713048	0.040408590682533	0.039359957162074	0.10325093372019
4	1	10001	20000	0.037123148369695	0.036635160164846	0.051611883998711	0.040373799326286	0.040438560079619	-0.0062067573846622
4	1	20001	30000	0.03310842318118	0.032942331633667	0.019530277988627	0.035711077779509	0.035920125268124	-0.022549117549232
4	1	30001	40000	0.03237183664603	0.032974057041545	-0.070746211159475	0.034553889308448	0.036008913133065	-0.15656280793791
4	1	40001	50000	0.029486394852575	0.031784847090619	-0.28008765220061	0.031670902639453	0.034050350353403	-0.27072067950069
4	1	50001	60000	0.033936421229556	0.033306871081935	0.073221411636215	0.036290590362427	0.035981509700695	0.033283421263398
4	1	60001	70000	0.035717240148207	0.034653960170914	0.11886952548915	0.038600487305434	0.038209011766711	0.039703524185323
4	1	70001	80000	0.033648692397079	0.032973599172132	0.079310941602493	0.035869773788457	0.035482048854443	0.042338992966376
4	1	80001	90000	0.031853589996395	0.031795014029773	0.0071356976732252	0.034873350366442	0.03535422320754	-0.052698595495272
4	1	90001	100000	0.032176090627759	0.032366573220454	-0.022796730960747	0.034153966893151	0.034703463030206	-0.061346879277122
5	1	1	10000	0.033652222207787	0.032967821132941	0.08041631813338	0.035799272869732	0.035756717228523	0.0046112955044857
5	1	10001	20000	0.03359819099124	0.033615437990781	-0.0019875796103803	0.035404826036713	0.035978140957615	-0.061742903244819
5	1	20001	30000	0.034183294792976	0.031868319049456	0.28137228323225	0.036599245577523	0.034534736570744	0.23160928395455
5	1	30001	40000	0.033142924149022	0.032211580945948	0.11199419972459	0.035837881006256	0.035264924510864	0.062949142567964
5	1	40001	50000	0.037321374939606	0.035180694917093	0.23574393649401	0.040571259035495	0.038965364488086	0.15971642382493
5	1	50001	60000	0.036288144453399	0.036315775418554	-0.00294800514087	0.039002740810605	0.039430994527412	-0.042090499215071
5	1	60001	70000	0.029368947281799	0.031405315647384	-0.25114081876231	0.031448761920336	0.034251759726027	-0.31704114969088
5	1	70001	80000	0.032120058080841	0.032836667252676	-0.084537977176577	0.035365165548813	0.036844748974303	-0.15560773870187
5	1	80001	90000	0.033605162955368	0.033424873269466	0.020894273350863	0.036527322380609	0.036821186949843	-0.030923868765397
5	1	90001	100000	0.033200585879947	0.033723816619446	-0.060104402872139	0.035785551173822	0.037142028541503	-0.14151823157785
6	1	1	10000	0.026071249356526	0.029902267446689	-0.49614972392934	0.027896104678431	0.032425531901641	-0.54108776934008
6	1	10001	20000	0.035049083627182	0.03330888570791	0.20238033001172	0.037906466737247	0.036689148141961	0.1285623879784
6	1	20001	30000	0.033520205054614	0.031974361001178	0.18726332685164	0.035589889693239	0.034446875236297	0.12855392621565
6	1	30001	40000	0.028557404857796	0.029812890815888	-0.16308639284588	0.031019193313984	0.032707592704639	-0.19996774214368
6	1	40001	50000	0.031839198895147	0.031425996461815	0.050925965338997	0.034155961271405	0.034650033845765	-0.055242973441658
6	1	50001	60000	0.034032781805247	0.033696877466245	0.038615919873765	0.037255792821445	0.037571054092746	-0.032515340788044
6	1	60001	70000	0.032005711377029	0.032408302564964	-0.048118913130648	0.034878015632491	0.035750389379635	-0.094547778062437
6	1	70001	80000	0.034577452280072	0.035849025975323	-0.13743063472722	0.037066274055841	0.038922454234122	-0.18481317478995
6	1	80001	90000	0.031824117777324	0.031986999780687	-0.019723472730512	0.034315168493287	0.0350600323843	-0.082312197322155
6	1	90001	100000	0.031987730407007	0.031760026587987	0.02776941692104	0.0348043149895	0.035013646064227	-0.023163117592678
