replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi
1	1	1	10000	0.034274791392907	0.034581387420069	-0.033801036471295	0.036641182466871	0.037500068473064	-0.087336000867709
1	1	10001	20000	0.03513135632409	0.033914856247498	0.13674742252981	0.038331399793156	0.037436454327978	0.091159313075259
1	1	20001	30000	0.034070359602031	0.034521027358025	-0.04977217905771	0.037108147860104	0.038044785979736	-0.093883556199484
1	1	30001	40000	0.037000220534495	0.035581454174519	0.15202902116955	0.040441236241851	0.039491990481169	0.091666834543147
1	1	40001	50000	0.03513901111437	0.033451913471625	0.19226658915342	0.037524630076495	0.036168531680367	0.14296421666262
1	1	50001	60000	0.033396427667498	0.033096448038883	0.034552990361218	0.035883936766589	0.036021179733405	-0.014527706596331
1	1	60001	70000	0.030234504956033	0.029931434874324	0.038590853024533	0.032649782310876	0.032636551920668	0.0015453883612525
1	1	70001	80000	0.035007665221017	0.033138191970836	0.21506002835221	0.038045939650035	0.036707608782095	0.1390224484276
1	1	80001	90000	0.033622446380356	0.03281133630111	0.094235718362648	0.036472337872611	0.035716905570444	0.080644156185883
1	1	90001	100000	0.032667214012042	0.032596946917243	0.0082172210868623	0.035584560427722	0.036033723791039	-0.047528368217885
2	1	1	10000	0.029561028011524	0.031074586812549	-0.18565297292279	0.032312591778776	0.034309863217611	-0.22194057546091
2	1	10001	20000	0.033794877428095	0.032681924717095	0.12981297075279	0.036933054757552	0.036701665436217	0.02403980265358
2	1	20001	30000	0.033150937026995	0.033197537491263	-0.0053512936350048	0.035484940730768	0.036253408519964	-0.08082478470062
2	1	30001	40000	0.035962572642901	0.03555218502208	0.044012365952996	0.038897945349194	0.038933974864984	-0.0035291184989517
2	1	40001	50000	0.033067655507467	0.032390499867752	0.079691446673337	0.036619748938507	0.036231825753268	0.040824188216645
2	1	50001	60000	0.034429453364228	0.033594123901787	0.094792688134279	0.036849640965338	0.036364240816428	0.050896692719356
2	1	60001	70000	0.033057414965986	0.03351308268483	-0.051834444979902	0.035730673783771	0.036689736083847	-0.099673988637059
2	1	70001	80000	0.02994166172505	0.030360821758524	-0.05261935115162	0.032374072212947	0.033355602648438	-0.1121817100432
2	1	80001	90000	0.032672169408963	0.033390546430166	-0.082018017059404	0.035256396400291	0.036615964729302	-0.14158201556139
2	1	90001	100000	0.034364043931451	0.03485621022936	-0.053833697403456	0.037017863679229	0.038050502807875	-0.10349032282389
3	1	1	10000	0.036029321289239	0.032824230970192	0.37223010896856	0.038702766049612	0.035745272969452	0.3154729451524
