replicate	chromosome	window_pos_1	window_pos_2	pi_new	thetaw_new	tajimaD_new	pi_new_multi	thetaw_new_multi	tajimaD_new_multi	pi_old	pi_vcftools
1	1	1	10000	0.031256930365923	0.030922278121637	0.045335025644141	0.033493987987118	0.033510435536169	-0.0020564044170642	0.03125693036592332	0.0316384
1	1	10001	20000	0.033819725298872	0.032146423333108	0.21806924859536	0.036248270518568	0.034796522006047	0.17481547541397	0.03381972529887238	0.0344721
1	1	20001	30000	0.034926411351931	0.034486105784883	0.053496309594012	0.037499171764914	0.037702869814456	-0.022641291058237	0.034926411351930975	0.0357442
1	1	30001	40000	0.0319544886389	0.031528036521506	0.056663840065696	0.033610205181485	0.033771984526179	-0.020070716835369	0.03195448863890005	0.0318389
1	1	40001	50000	0.032987429436719	0.032557818500974	0.055281945874416	0.034770100606968	0.03482180670518	-0.006221772063992	0.032987429436718514	0.0330142
1	1	50001	60000	0.034864460761154	0.03500672336056	-0.017028052595511	0.037347540766273	0.038132864151646	-0.086306988167176	0.034864460761154126	0.0355847
1	1	60001	70000	0.034145934026772	0.034264513751797	-0.014500150273108	0.036489936044741	0.037009287275354	-0.058806180376259	0.03414593402677239	0.0346837
1	1	70001	80000	0.033806117620863	0.035326863036228	-0.18037789332759	0.035892066763055	0.037855554645113	-0.21736415340612	0.03380611762086337	0.0341011
1	1	80001	90000	0.030937085302136	0.029617273274968	0.18665778472029	0.032275021026072	0.031351771373665	0.12336509174478	0.030937085302136024	0.0307
1	1	90001	100000	0.033812544908679	0.034782513216524	-0.11684639877307	0.036036395473839	0.037452037283399	-0.15840137486539	0.03381254490867872	0.0342274
2	1	1	10000	0.034140734914533	0.033342606155175	0.10029091274179	0.035717083882786	0.035340817248932	0.04461268853361	0.034140734914533226	0.0340705
2	1	10001	20000	0.034123654322091	0.033330086781474	0.099753466596278	0.036107465409085	0.035710235056321	0.046611275792146	0.03412365432209118	0.0341721
2	1	20001	30000	0.032387809295246	0.031626282179165	0.10087340675469	0.034257266919269	0.033859901871893	0.049170683591508	0.03238780929524571	0.0325958
2	1	30001	40000	0.030589322290498	0.031716293039047	-0.14885743219313	0.033018732147997	0.034596322780265	-0.19106618219596	0.03058932229049782	0.0313942
